The 1975, The Sound
Kanye West ft. Desiigner, Father Stretch My Hands Pt. 2

Kanye West ft. Rihanna and Swizz Beatz, Famous

Kanye West, Feedback

Kanye West, Low Lights

Kanye West ft. Young Thug, High Lights

Kanye West ft. Desiigner, Freestyle 4

Kanye West, I Love Kanye

Kanye West ft. Chris Brown, Waves

Kanye West ft. The Weeknd, FML

Kanye West ft. Ty Dolla $ign, Real Friends

Kanye West ft. Vic Mensa and Sia, Wolves

Kanye West ft. Frank Ocean, Frank's Track

Kanye West, Silver Surfer Intermission

Kanye West ft. André 3000, 30 Hours

Kanye West ft. Kendrick Lamar, No More Parties In LA

Kanye West, FACTS (Charlie Heat Version)

Kanye West ft. Ty Dolla $ign and Post Malone, Fade

Kanye West, Don't Like

Kanye West, Mercy

Kanye West, The Morning

Kanye West, New God Flow

Kanye West, Runaway

Kat Deluna, Jerimih, What A Night

Katy Perry, Dark Horse

Kelly Clarkson, Heartbeat Song

Kelly Clarkson, Piece By Piece

Kendrick Lamar, Alright

Kendrick Lamar, These Walls

Kendrick Lamar, untitled 02 | 06.23.2014.

Kendrick Lamar, untitled 03 | 05.28.2013.

Kendrick Lamar, untitled 07 | Levitate

Kevin Garrett, Control

Kevin Gates, 2 Phones

Kevin Gates, Hard For

Kevin Gates, Jam

Kid Cudi, Speedin' Bullet 2 Heaven

Kid Ink, Body Language

Kid Ink, Promise

Kiiara, Gold

The Kills, Doing It To The Death

The Kills, Future Starts Slow

KING, The Greatest (Ali)

Kodak Black, SKRT

The Knocks, Love Me Like That

Kygo, Stay

Kygo, Stole The Show

LA Leakers, Ball Like This

LAnco, Long Live Tonight

Låpsley, Hurt Me

Lecrae, Can't Do You

Lil Dicky, $ave Dat Money

Lil Durk, My Beyoncé

Lil Uzi Vert, Money Longer

Lil Uzi Vert, Top

Lil Yatchy, 1 Night

Limahl, NeverEnding Story

Lin-Manuel Miranda, Alexander Hamilton

Lin-Manuel Miranda, My Shot

Logic, Fade Away

Lorde, Royals

Lucie Silvas, Letters to Ghosts

Lucius, Something About You

Lukas Graham, 7 Years

Luke Nasty, Might Be

The Lumineers, Ophelia

Mac Miller, Donald Trump

Mac Miller, Weekend

Macklemore & Ryan Lewis ft Chance The Rapper, Need To Know

MadeinTyo, Uber Everywhere

Majid Jordan, Something About YOu

Major Lazer, All My Love (Remix)

Major Lazer, Be Together

Major Lazer, Get Free

Major Lazer, Lean On

Major Lazer, Light It Up

Major Lazer, Light It Up (Remix)

Major Lazer, Night Riders

Major Lazer, Powerful

Mannie Fresh, Hate

Maren Morris, My Church

Mark Ronson, Uptown Funk!

Maroon 5, Sugar

Matoma, Running Out

Meghan Trainor, All About That Bass

Meghan Trainor, Like I'm Gonna Lose You

Meghan Trainor, NO

Melanie Martinez, Pity Party

Miguel, Coffee

Miguel, waves

Miguel, waves(Kacey Mustgraves remix)

Miley Cyrus, We Can't Stop

Mike Posner, I Took A Pill In Ibiza

M.I.A., Paper Planes

MSTR ROGERS, I'll Take You

MUNA, Winterbreak

Nathan Sykes, Over and Over Again

Nelly, Die A Happy Man

Nelly, The Fix

Nick Jonas, Tove Lo Close

Nick Jonas, Jealous (Remix)

Nicki Minaj, Feeling Myself

Nipsey Hustle, YG, Fuck Donald Trump

Omarion, Cheerleader (Felix Jaehn Remix)

Omarion, I'm Sayin

OMI, Hula Hoop

One Direction, Drag Me Down

One Direction, History

One Direction, Perfect

O.T. Genasis, Cut It

Panic! At The Disco, Emperor's New Clothes

Panic! At The Disco, I Write Sins Not Tragedies

Panic! At The Disco, Victorious

PARTYNEXTDOOR, Drake, Come and See Me

Plies, Ritz Carlton

Porches, Be Apart

Post Malone, Too Young

Post Malone, White Iverson

POWERS, Beat of My Drum

Prince Fox, I Don't Wanna Love You

Public Acess TV, On Location

Puff Daddy & the Family, You Could Be My Lover

Pusha T, 40 Acres

Pusha T, Crutches, Crosses, Caskets

Pusha T, King Push

Pusha T, M.F.T.R.

Pusha T, M.P.A.

Pusha T, Millions

Pusha T, Nosetalgia

Pusha T, Numbers on the Boards

Pusha T, Sunshine

Pusha T, Sweet Serenade

Pusha T, Trouble on My Mind

Pusha T, Untouchable

R. City, Locked Away

R. City, Make Up

R. Kelly, Let's Be Real Now

Rachel Platten, Stand By You

Rae Sremmurd, By Chance

Rayland Baxter, Yellow Eyes

Rich Homie Quan, The Most

Rick Ross, Color Money

Rick Ross, D.O.P.E

Rick Ross, Sorry

Rihanna, Bitch Better Have My Money

Rihanna, Desperado

Rihanna, Kiss It Better

Rihanna, Needed Me

Rihanna, Work

Ro James, Permission

Robin Schulz, Sugar

Roy Woods, Drama

Rudimental, Lay It All On Me

Ruth B, Lost Boy

Schoolboy Q, Groovy Tony

Seal, Kiss From A Rose

Seinabo Sey, Kygo, Younger (remix)

Selena Gomez, Good For You

Selena Gomez, Hands To Myself

Selena Gomez, Me & The Rhythm

Selena Gomez, Same Old Love

Shawn Hook, Sound Of Your Heart

Shawn Mendes, I Know What You Did Last Summer

Shawn Mendes, Stitches

Sia, Chandelier

Sia, Cheap Thrills

Sia, Elastic Heart

Sia, Reaper

Skeme, 36 Oz (Remix)

Skepta, Ladies Hit Squad

Snakehips, All My Friends

St Lucia, Dancing On Glass

Tate Kobang, Bank Rolls Remix

Tate Kobang, Oh My

THEY., Motley Crew

T.I., Broadcast Live

Timeflies, Once In A While

Tinashe, 2 On

Tinashe, All Hands On Deck [Dej Loaf Remix]

Tinashe, Bet

Tinashe, Cold Sweat

Tinashe, Feels Like Vegas

Tinashe, How Many Times

Tinashe, Party Favors

Tinashe, Player

Tinashe, Pretend (Remix)

Tk-N-Ca$h, 3 Times In A Row

Tori Kelly, Hollow (Remix)

Tory Lanez, LA Confidential

Tory Lanez, Say It

Tory Lanez, Trap House

TOTEM, Unrequited

Trae Tha Truth, Slugs

Travis Scott, Antidote

Travis Scott, A-Team

A Tribe Called Quest, Award Tour

A Tribe Called Quest, Can I Kick It?

Troye Sivan, YOUTH

​twenty one pilots, Ride

​twenty one pilots, Stressed Out

​Twin Peaks, Walk To The One You Love

Ty Dolla $ign, Drop That Kitty

Ty Dolla $ign, Blasé

Ty Dolla $ign, Know Ya

Ty Dolla $ign, Long Time

Ty Dolla $ign, Saved

Ty Dolla $ign, Sitting Pretty

Ty Dolla $ign, Wavy

Usher, Climax

Vic Mensa, No Chill

Vince Staples, Norf Norf

The Weeknd, Aquainted

The Weeknd, Can't Feel My Face

The Weeknd, In the Night

The Weeknd, The Hills

White Reaper, Make Me Wanna Die

Who Is Fancy, Boys Like You

Will Joseph Cook, Message

Wiz Khalifa, Bake Sale

Wiz Khalifa, Elevated

Wiz Khalifa, King of Everything

Wiz Khalifa, See You Again

X Ambassadors, Renegades

Yellow Claw, In My Room

YFN Lucci, Key To The Streets

YFN Lucci, Run It Up

Yo Gotti, Bible

Yo Gotti, Down In The DM

Yo Gotti, Down In The DM (Remix)

Yo Gotti, General

Yo Gotti, Law

Yogi, Burial

Young Dolph, Get Paid

Young Dro, Ugh (Remix)

Young Greatness, Moolah

Young Thug, Best Friend

Young Thug, Digits

Young Thug, Fuck Cancer

Young Thug, Hercules

Zara Larsson, Lush Life

Zara Larsson, Never Forget You

ZAYN, iT's YoU

ZAYN, LIKE I WOULD

ZAYN, PILLOWTALK

ZAYN, sHe

Zendaya, Something New

ZHU, Working For It

Zoey Dollaz, Blow a Check
